,S15_NK_CD56dim,S15_NK_CD56bright,S16_NK_CD56dim,S16_NK_CD56bright,S17_NK_CD56dim,S17_NK_CD56bright,S15_Th1,S15_Th2,S15_Th17,S16_Th1,S16_Th2,S16_Th17,S17_Th1,S17_Th2,S17_Th17
E4F1,1307,897,925,1269,820,1217,1263,1516,2444,1546,1438,1612,1254,1087,1436
DNASE1L2,6,1,1,6,4,13,6,16,0,19,5,1,11,16,0
ECI1,842,961,465,951,543,898,1222,1635,2842,1515,1800,1813,1343,1208,2255
CASKIN1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ABCA3,553,269,583,350,311,740,563,708,127,344,160,492,343,686,767
KCTD5,2247,1939,1639,2378,2267,3467,1140,1433,1327,1677,1250,1909,2462,3117,2520
SRRM2,22231,14607,23683,22038,18090,35581,27434,31984,12952,23273,20913,26617,35182,29712,21075
ZNF597,452,113,320,362,196,414,369,257,1,450,440,484,615,552,509
NLRC3,4270,2146,3976,2924,2203,5399,3831,3686,2363,2164,1828,4077,4568,2370,3605
SDHAF2,680,465,478,412,611,534,706,768,677,837,974,905,1024,909,1184
DDB1,4009,2797,5139,3375,4001,4175,4128,5443,4,4461,4682,7609,6791,4787,5128
VPS37C,60,30,39,38,78,50,70,70,2,109,64,80,53,123,52
VWCE,0,0,0,23,0,22,1,21,1,0,0,13,4,0,0
RAB3IL1,0,0,2,1,1,1,1,0,0,1,0,12,0,0,0
BEST1,30,14,60,49,102,10,164,272,82,74,70,204,51,263,287
FTH1,5588,4279,5490,6549,11242,5434,15637,21627,21266,29472,29166,29529,15876,20199,22576
BSCL2,76,75,87,129,43,112,116,115,0,126,168,111,111,61,125
POLR2G,8514,5178,5393,4151,5582,4628,4595,5001,3967,6176,5575,6253,6657,4872,6189
SLC3A2,12384,7188,6924,5452,6853,6355,14373,18489,9301,18194,17598,20768,15377,15269,18036
HRASLS5,24,0,60,0,0,0,0,0,0,0,11,1,6,47,2
C11orf84,92,105,86,60,60,212,54,132,0,48,99,73,108,121,150
ATG16L2,5353,1963,2691,1860,3308,2211,3663,5427,2388,3343,2840,3794,3280,3761,2785
C2CD3,935,342,1286,653,602,659,983,1232,464,482,615,964,1274,871,573
TRANK1,1888,1151,1472,1007,1197,1180,1266,1682,1498,1262,891,1564,2279,1248,1593
TTC21A,14,16,14,90,73,84,131,192,1,335,54,331,461,194,158
RPSA,3303,4609,2577,4128,2636,5254,9851,12979,18584,11624,15547,11741,15503,9669,15386
ENTPD3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
CTNNB1,1608,1389,4891,7172,3205,4595,1506,1110,558,4684,3165,6783,3486,2555,3011
ULK4,569,266,304,209,301,241,960,917,1377,363,284,711,901,567,369
FADD,156,77,147,88,126,187,229,298,0,257,232,389,500,462,435
LTBP3,1911,1812,1739,3042,1222,2952,3763,2552,6435,3997,2329,4016,3694,2890,3572
NAALADL1,1870,1163,1262,1368,1074,1235,582,710,1655,706,900,722,874,755,857
SAC3D1,144,142,83,55,120,42,150,140,0,220,258,202,92,120,128
BATF2,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0
SLC22A11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SF1,5740,4934,5938,6429,5036,9389,11081,13077,14165,13372,10310,14367,15537,12146,16153
MAP4K2,1214,655,919,1011,1118,1021,5062,4671,2782,4877,4976,5640,4960,5857,5993
C11orf85,4,0,0,0,0,2,51,2,0,34,0,26,29,12,0
CCDC88B,7090,3846,6902,5323,4629,8338,4568,6580,3511,5675,6117,6412,6281,6012,5688
SCARA3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
PBK,31,13,14,0,16,0,0,2,0,0,5,13,74,0,14
SCARA5,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0
PNOC,0,0,0,0,1,1,0,0,5,0,0,0,0,0,4
COPS6,5381,3381,3998,3940,3490,3265,5603,7862,3673,7951,7814,8916,6953,5545,7680
PAFAH1B2,1355,811,1532,1193,1993,2154,1633,1818,1211,1508,1334,2701,2671,2439,3002
ANKS3,768,474,379,601,467,706,812,788,371,1074,379,786,612,968,468
NUDT16L1,3341,3723,2165,3273,1792,3840,4140,4937,8728,6300,5664,5321,6574,5197,5620
KIAA1586,311,252,184,258,114,329,290,319,536,331,218,509,476,165,291
RAB4A,1785,882,1141,1110,1348,749,838,1906,1466,1113,1367,1194,1087,1317,1465
ZNF355P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR1F1,0,0,0,0,0,0,5,0,0,84,64,21,2,0,0
OR2W6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC098817.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SETD5,3082,1815,2834,1941,2021,2937,3358,3511,2511,3338,2395,3487,3891,2602,2713
VASN,42,72,65,126,49,41,115,102,342,148,80,95,141,101,154
FAM83B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HIST3H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THAP9,106,131,167,195,61,26,62,240,0,115,38,194,176,117,70
OR2C1,6,0,0,0,3,0,0,0,0,4,0,0,0,0,0
RNF187,4151,4061,4005,4089,3662,5171,4091,5205,3994,4305,6170,6616,3882,5158,5584
HOOK3,1517,1180,1311,1238,1467,1657,1108,2585,2989,1517,1160,1481,1622,1040,1749
MAPK1IP1L,8042,4847,8062,6319,7217,6294,11900,12198,4192,16513,12461,20048,13399,10749,15377
DDIT4,10783,5938,5421,3135,6490,8019,9124,14311,5600,10882,8831,16125,7705,10973,11429
RBPJ,1072,1852,1098,3385,1665,2545,2560,3917,426,3169,3266,3929,4389,2754,3555
LMBRD1,2197,1067,1291,1051,1955,1469,3338,3758,4925,3070,2402,3575,4599,2760,2908
ZCCHC4,481,498,433,380,441,541,739,958,692,1116,209,869,1072,826,517
PTGDR,5832,4500,5349,5763,2110,3476,328,26,0,133,0,285,82,27,87
TTC39C,776,854,687,767,626,967,6046,4928,2381,6279,4217,11468,6640,5603,11002
GLYCTK,1161,403,796,508,714,770,1044,1093,2897,1004,1062,673,1425,882,715
GNG4,0,0,3,3,0,4,25,0,0,2,0,18,3,1,0
UBTD2,58,7,32,14,87,34,62,238,0,43,114,85,62,101,98
POLR2J3,147,82,96,76,207,112,133,127,132,117,107,130,484,238,190
NKIRAS2,1386,1090,933,1315,1215,1371,1105,1348,3871,1775,1255,1835,1465,1703,1843
DNAJC7,1765,1324,1507,1487,1409,1207,1761,2414,851,2369,1859,2040,3584,2000,2237
LINC01599,13,0,24,0,7,0,22,14,0,0,6,0,0,0,11
KCNV2,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0
IRF2BP2,3472,2301,2589,2498,2005,2209,6293,7824,4122,8024,5532,7830,5245,4255,6182
PTF1A,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
NT5DC2,40,15,2,1,28,12,2,112,0,12,9,6,43,53,31
FOXI1,0,2,0,0,0,0,0,45,0,0,0,0,0,0,3
SMIM4,235,210,145,158,150,195,396,569,174,456,751,425,391,339,623
COA6,729,388,370,269,341,257,691,968,374,925,880,803,1006,706,952
KIF5C,5,61,0,32,18,12,408,1507,275,324,356,826,332,765,898
MGAT2,14,12,17,6,26,29,60,63,0,24,57,35,58,71,51
BMI1,975,778,1012,677,1093,1288,1898,1847,496,1766,1695,1911,2321,1829,2141
THAP11,2977,2534,1609,1874,2421,3441,4843,4568,2862,4869,3488,4980,5883,6126,6402
MMADHC,4041,3040,3148,2863,3466,3656,4481,4376,3145,5580,4067,5840,6956,4928,5247
PDHB,3215,1634,2473,2012,2617,2059,2019,2374,1779,3312,2834,3763,3359,2481,3189
PXK,1980,902,1533,987,1835,795,1458,1425,275,1274,938,1730,1944,1186,1325
HIST1H1E,1592,2115,2547,2530,2001,2390,1996,2462,1939,3441,3702,2838,2267,1993,3002
PCMTD1,1815,1955,1337,1074,1572,1862,1814,1766,395,1372,1194,1959,2409,1461,1754
KCTD6,427,123,189,271,371,117,354,380,0,257,208,426,418,271,360
MPLKIP,1056,703,627,586,536,642,704,1497,689,1400,1516,1433,1309,983,1161
ACOX2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM107A,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
IRF2,2642,1314,1368,1125,1394,1181,2246,1807,208,1710,1515,2252,1751,1185,1908
MOBP,0,12,0,35,0,3,0,0,0,1,0,3,0,0,2
CX3CR1,16995,177,8007,27,6632,181,67,1,194,177,15,54,603,196,9
C8orf22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XIRP1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
INSM2,0,0,0,0,0,0,0,0,0,0,0,0,13,54,0
DEGS2,73,4,142,23,31,19,43,106,1,3,0,5,82,57,16
SCN11A,13,3,6,0,0,0,0,1,0,0,0,0,1,1,0
LINC00917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARF4,4215,3635,3676,3823,3813,3822,3687,6759,153,4737,4892,5824,5549,5571,4875
SEPT2,6592,6187,5975,8355,6507,10972,7217,7509,1497,6141,5010,9718,7652,6470,6009
FILIP1L,20,0,7,9,23,0,13,41,0,31,39,24,110,0,7
MFSD2A,9,0,10,35,81,12,25,17,0,125,13,44,2,14,6
DTYMK,957,665,501,319,386,393,746,960,664,772,760,830,787,734,908
TAP1,10917,5558,8117,7245,6800,8722,8608,7456,4044,11405,8086,13731,15519,12162,13419
ING5,860,485,546,690,506,447,1494,1887,150,2005,1897,2056,2321,902,1283
ATG4B,5898,3993,3112,4022,3144,4278,4229,5117,2497,4045,3683,4229,4195,3250,3704
BDKRB2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
MLKL,1298,554,691,432,963,450,1263,1271,345,974,705,1514,1294,1172,1340
CMAHP,1528,978,595,699,918,799,1667,1659,320,761,623,1007,1323,613,667
RFWD3,951,376,959,725,882,848,894,1134,156,678,639,1696,1630,813,1350
MTNR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNG4,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0
RHOH,3454,4436,3691,4262,2574,4929,23492,20885,12947,23018,15799,22744,20576,13391,16369
KLHL30,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0
COG7,641,366,356,369,414,559,866,548,1468,680,382,519,830,508,467
CDC40,1042,805,1247,1238,1583,1724,1284,1255,258,1263,1019,1346,1729,914,1335
STIP1,3746,1567,2178,1966,2097,2178,2359,2401,753,2376,2367,3909,2947,2470,3076
SCNN1B,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
HR,0,0,1,0,0,0,5,1,0,0,0,0,3,0,0
TXNDC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB31,21,1099,49,1342,1487,813,17,1,2113,65,24,9,164,133,65
REEP4,2264,1434,1500,1604,1732,2531,869,1443,1495,1354,1460,1675,2025,1896,2319
TNXB,10,0,0,3,6,8,59,39,19,33,23,3,74,126,60
LGI3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,2
SFTPC,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
BMP1,360,53,168,115,211,132,50,151,0,21,90,110,41,124,82
ATXN2L,1808,800,1970,1586,1529,1944,3215,3124,828,2726,2000,3256,2526,2156,2897
PHYHIP,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CCDC110,0,0,1,0,0,0,14,25,0,2,0,23,0,4,9
POLR3D,515,204,340,396,392,499,759,1072,376,790,661,862,1038,709,776
FEN1,1112,517,1193,800,924,630,740,922,0,2236,1595,2314,1594,1726,1120
SDPR,36,26,9,7,7,42,0,17,54,67,107,61,46,15,3
MTCL1,1,168,0,120,0,203,1,0,27,1,0,1,0,0,0
GBX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFE2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
SCGB1D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXIM2,76,41,72,57,40,62,32,123,0,89,27,47,124,60,73
FNTA,2314,1909,1914,2090,2242,2549,3442,4199,3006,4236,3429,4350,6399,3880,3674
SERINC2,34,45,6,2,0,7,0,7,0,24,1,86,0,20,0
MYL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAPPC11,949,632,775,258,723,882,986,874,0,795,603,887,1666,776,687
CHRM1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
COL3A1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
GFRA2,46,0,11,0,36,5,17,67,0,7,0,5,0,0,55
ING2,1068,1035,427,592,674,616,965,1400,460,1173,977,1081,1171,718,1009
CDKN2AIP,2372,1924,1740,1650,2175,2936,3138,2871,1388,2688,2215,2664,3664,3796,3618
SNRNP48,782,455,509,161,493,397,683,584,0,559,248,481,763,528,520
TMEM223,899,603,614,748,711,869,806,1008,617,1290,1321,925,1231,798,1260
SLC20A2,1278,675,882,787,960,977,1126,909,608,2008,914,1567,1337,1328,1344
CRYGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYNLRB2,8,6,15,6,0,2,8,1,0,19,7,6,2,1,1
TMUB2,3396,2392,2283,2813,2381,2943,3392,4317,4850,4489,3606,4386,4567,3519,4443
ADAM29,0,0,1,0,0,1,0,0,3,52,0,0,2,0,0
STAT3,6513,3452,6407,4474,5348,6383,7681,7719,2542,8990,6406,10113,11779,8615,8613
ZSWIM1,2,39,1,85,36,83,408,264,1,163,119,222,584,280,181
ADAM9,156,230,304,323,362,780,24,303,0,137,303,91,59,82,168
ADAM18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
GDNF,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0
SPINT5P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DPCR1,0,0,0,0,0,0,3,0,0,0,0,5,1,0,1
WFDC13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AXIN2,0,293,0,168,0,512,1520,1956,79,869,995,796,962,492,904
NDUFS5,3478,3474,2979,3444,2699,2965,7666,8048,21226,12454,11512,10010,9441,6632,11273
VWA3B,1,0,2,1,0,2,3,0,1,0,0,0,1,0,0
ZNF30,261,431,161,212,199,263,258,168,0,232,147,257,298,201,251
UGT3A2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
FAM84B,79,304,167,618,222,592,1614,1118,672,1093,785,1777,2149,1746,1727
LDLRAD4,281,350,346,922,288,394,1038,545,465,1140,678,1841,1257,527,1475
KCTD19,13,0,6,10,6,2,6,21,0,3,4,11,6,4,10
SLC16A4,14,7,1,26,22,1,11,17,28,2,1,6,11,0,6
IL7R,51,8227,36,12645,66,16537,50150,47466,50766,31885,29240,36930,47295,26000,36592
TMEM208,1396,1019,1060,1453,1291,1420,768,1374,1347,2015,2006,1520,1893,1086,1585
LRP1B,0,0,0,0,1,0,1,0,185,0,0,2,0,0,1
WFDC12,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5
AHCYL1,2386,965,1435,768,1274,939,1530,1899,1293,1752,2054,2320,1552,836,1735
DNAJC21,2347,1343,1325,1443,1423,1712,1756,2623,1945,2049,1616,3046,2657,1701,2351
PKIG,64,178,74,203,37,194,83,210,273,198,236,151,156,110,171
NPNT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
C20orf62,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
CA7,5,10,7,1,8,1,0,3,0,0,4,1,5,0,1
FAM178B,58,1,16,5,8,0,7,21,0,14,0,14,13,0,8
TSPY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMA4C,1375,448,942,814,926,1301,1586,3445,1852,1358,1728,1186,2145,2249,1520
CNNM3,1816,716,1940,781,1775,1284,2815,2135,564,2470,1724,2764,3733,2552,2777
GSTM4,1219,603,724,813,1136,1142,402,378,1000,992,478,765,1165,898,1262
TET2,2889,1623,2789,1576,2771,2940,1747,1242,18,1159,1247,2176,2240,1147,1212
CXXC4,9,0,13,0,36,0,0,0,109,1,1,0,0,0,0
TCTN2,11,39,27,23,16,45,89,132,0,203,127,105,69,33,108
SHOX2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0
PPIP5K1,194,168,216,205,111,179,271,282,0,190,57,411,650,69,352
TSPAN5,889,801,494,820,514,637,726,452,1255,1139,363,1763,683,353,927
OR12D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD15,4220,3589,4484,4915,3665,6005,918,1165,798,645,867,1539,998,1084,1131
ZBTB5,244,257,240,282,132,366,312,723,217,190,609,275,350,225,501
CHTF8,1728,1438,1542,693,1274,1242,2391,2321,1047,2211,1896,2916,2892,1872,2276
ADAL,354,276,260,338,163,120,318,329,740,435,346,495,181,219,243
LCMT2,178,165,217,218,204,207,467,589,137,386,373,520,272,504,693
SNTB2,1544,1052,1748,980,1077,1440,586,708,1304,568,550,865,969,644,759
IL12A,107,51,45,12,66,17,112,105,1,153,46,111,190,155,104
ZNF507,421,487,895,940,734,771,1463,718,300,1196,246,1638,2654,706,1529
STX18,2272,1433,932,1349,986,1411,1496,1956,1432,1548,1850,1746,1982,1520,1649
D4S234E,421,12,425,85,1182,136,1969,765,262,1021,1002,2084,2115,2557,3747
ZBTB49,1891,538,886,542,1191,748,907,680,188,941,140,1330,1793,1203,860
GFM1,1333,940,1568,1382,1449,1815,1499,1934,1419,2014,1198,3039,1952,1630,1613
OR13J1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HTR1E,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FSTL5,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0
TPTE2P5,45,1,17,26,25,15,19,24,0,35,26,26,23,26,38
DDX19A,1559,1466,1179,1537,1125,1620,1853,1751,48,2009,1775,2042,2488,1630,1881
ATOH8,0,0,0,12,2,0,1,0,0,0,0,0,0,0,0
SOX14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD49,1631,1094,1507,1570,1919,1715,1456,1577,1530,2247,1536,2834,2976,1681,2584
SFTPB,1,0,2,4,0,1,0,1,0,0,5,0,4,0,3
USP39,3598,1871,2122,1929,2207,2361,2599,2787,419,3791,2540,4059,4219,3237,3604
TNIP2,2870,1691,1881,1849,2085,2094,3324,3790,1887,4920,3990,5033,3971,4370,4260
C2orf68,539,734,653,1101,731,903,719,1000,454,1148,784,1131,1419,769,968
TMEM150A,849,454,601,656,511,563,519,771,672,684,903,846,818,515,687
RNF181,2984,2274,2184,1824,2180,2364,2007,2545,1850,2426,3278,2700,2750,2531,3042
VAMP5,1349,703,939,697,1207,606,1284,1234,4391,2094,1651,2001,1725,1290,1823
BTNL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LRRC28,506,376,689,649,623,768,827,878,1420,1114,782,1284,941,841,1004
MAT2A,2204,1536,1945,2576,1621,2617,1450,1864,1253,2139,1934,2970,1803,994,936
PLA2G4F,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2
ENHO,1,0,0,14,5,9,3,5,0,0,0,0,0,0,6
ZNF608,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
SLC35G2,0,15,0,6,6,0,4,34,20,0,6,2,29,0,16
INPP5D,16184,10234,15264,11345,13793,15068,10841,13049,6582,8716,8533,11228,13357,12580,9420
LETM1,1185,786,1019,1179,953,1467,1214,1331,862,889,1234,1506,727,657,1415
CTRB1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
CTRB2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TRIM49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM129,2152,1208,1665,1830,1466,2108,2248,3383,949,3109,2579,3184,2660,3704,3551
PPIC,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SPRY3,2,0,11,28,22,1,67,54,0,0,1,0,0,0,4
CEP120,1201,582,1287,1189,1068,1466,3193,2279,3626,1780,1354,3290,3336,1846,2073
STXBP6,0,1,0,0,5,0,3,0,7,0,7,0,0,0,0
TM4SF20,0,0,0,0,0,4,0,0,0,0,0,0,0,35,0
MFF,3396,3116,2813,2750,3017,3093,4505,5119,1106,5683,4455,6597,5964,3608,5190
GRM5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
LGALS9,425,273,387,283,793,344,420,534,1113,503,622,759,708,524,986
PMCHL1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
JMJD7.PLA2G4B,62,50,79,186,57,150,276,208,3,228,180,112,223,138,131
OR7E102P,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CPLX1,0,0,1,0,0,0,46,45,1,49,113,66,32,36,51
PXDC1,0,0,0,0,17,5,0,0,296,0,59,30,1,27,80
SIGLEC7,3070,700,2623,555,2264,812,0,0,768,0,0,16,0,0,0
NTSR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2F6,240,102,119,92,102,110,135,141,0,213,150,185,162,133,88
FEM1B,2055,1310,1506,1094,1902,1542,2744,2125,2777,2007,1126,2722,2268,1923,2195
COMMD8,2115,1479,1282,1156,1509,1608,1452,1918,2049,1490,1791,2170,1360,1553,1467
ATP5I,1162,1409,849,1024,967,1227,1324,1699,3729,2033,2671,1985,1694,1616,2898
UQCRFS1,5070,3857,3650,3339,4160,3983,4595,6291,5104,7221,7028,8224,8584,6136,8437
MFSD7,254,741,455,970,300,800,144,6,0,118,75,73,105,32,18
COL4A3,2,32,6,34,3,71,0,0,0,0,2,8,5,0,0
MAP2K1,2291,1858,1572,1822,2008,2578,3906,4097,509,3065,2758,3977,3443,3262,4231
KLK7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMCHL2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
HNRNPH1,7202,5299,4377,4122,6572,6111,10051,9987,12305,7614,6224,6260,15549,6628,9930
IRS1,0,2,0,3,1,2,15,15,0,9,36,3,65,0,42
MECP2,1571,567,1572,1008,1436,962,1660,2434,3132,2093,2200,2576,2886,2019,2522
VCX3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPF3A,1261,1709,1070,1753,1343,2222,1688,1125,510,1997,1980,1904,2180,1194,2019
ZBBX,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
ACTBL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROR2,0,0,0,0,0,1,0,0,0,34,0,28,0,8,74
RP3.509L4.3,1,0,1,0,3,0,0,3,0,5,0,2,0,3,0
AR,0,0,0,0,0,1,1,34,54,0,0,0,0,0,2
DHRSX,1235,926,705,813,704,938,943,1378,1064,1067,723,1011,1148,891,1037
C8orf46,23,14,146,75,76,44,119,48,33,35,28,44,68,102,12
HSPBAP1,309,173,293,556,513,581,770,1096,0,542,552,720,1146,358,833
ASMTL,2293,2188,1410,1330,1064,2106,1297,1582,787,1946,1748,1872,1949,1331,1897
SLC25A6,10526,12423,9782,13728,9687,14909,22028,32209,26547,38536,41181,38390,33655,31131,39482
CHST14,246,256,145,368,182,363,195,321,0,57,151,90,110,167,182
PARM1,0,0,1,0,23,0,0,0,2,0,0,0,0,0,0
CSNK1G1,558,225,295,280,338,354,502,592,500,501,245,473,466,233,406
FAM110B,2,7,7,15,83,0,0,0,1,5,58,37,0,0,79
ARMC4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AFAP1L2,83,3,114,256,26,250,70,31,1,47,345,118,18,33,93
ZNF354A,915,622,481,585,514,555,1006,785,172,984,731,1281,1108,819,881
ATF5,41,48,47,87,27,65,46,148,77,71,212,95,77,85,98
UBE2V2,3489,2227,2568,2321,2005,2313,3066,3642,98,3250,2890,3841,4380,3125,3127
GOT1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB43,838,584,750,1354,789,1167,826,841,796,796,499,1462,1619,654,1312
RP11.167P23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPT1C,0,0,15,0,0,2,1,1,4,17,0,2,48,0,20
PCSK9,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
XPO6,3491,1624,2776,2287,3162,3389,7914,6610,6979,4376,3092,4644,8368,4818,5414
GSG1L,0,0,0,4,0,0,0,24,2,0,0,0,2,0,1
MN1,0,3,52,5,84,34,0,13,0,49,7,0,10,0,0
APEX2,990,1779,717,1510,455,2222,465,614,1070,785,290,689,782,743,631
NSMCE1,1663,4122,1440,3170,887,2661,2755,5233,5375,4062,7079,4350,2739,3306,3480
CCDC126,601,414,274,97,378,111,287,344,40,265,221,218,357,210,444
IL13,2,5,0,0,0,0,15,281,4,0,84,5,0,0,0
RP11.231C14.4,23,3,5,8,11,9,13,18,0,10,7,9,15,9,5
OR10G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB3B,1,1,1,0,0,0,0,0,0,0,0,0,10,0,0
OR6F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD2BP2,4086,1404,3494,2096,3435,2524,1535,1991,11,2567,2783,2890,2875,2765,2476
RSPO1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
RGS14,2973,1843,1805,1404,1394,1796,5020,4181,5239,4313,4231,5797,3511,3238,3994
TBC1D10B,1112,543,721,541,814,788,944,1155,7,666,452,911,764,927,1088
LMAN2,10468,5769,8015,5704,6049,6076,6070,8327,4549,10176,10121,10562,6940,7190,7356
GCSAML,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0
RAB24,394,565,207,563,355,499,120,204,144,156,204,169,174,127,202
PRELID1,2213,1885,1690,1666,2222,1976,1253,1977,976,2275,2483,2261,2097,1903,2303
THBS3,219,152,131,192,78,165,319,414,1,347,411,523,487,488,349
CA5B,1945,2888,1898,3356,1308,2410,2808,2152,1398,2706,2441,3043,3433,1864,2732
SLC50A1,1867,2337,1137,1885,1311,2225,1485,1937,2920,1765,1612,2010,1803,1650,2061
EFNA1,137,1,164,0,46,3,39,32,2,43,0,0,52,0,76
CXCL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPIPB3,87,50,47,60,66,69,114,193,1,82,53,80,259,127,44
SH3TC2,0,0,4,0,10,1,8,0,5,4,0,0,0,0,0
CXCL11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZRSR2,1521,856,955,1019,1018,1026,1579,2038,2008,1871,1513,1942,1913,1749,1789
NMD3,1374,1047,1254,1647,1210,1913,2384,1778,107,1980,1245,3448,2285,2070,2222
ADRB2,5927,865,3105,467,3758,688,1270,363,424,450,169,1025,1040,571,620
RP11.220D10.1,2,5,1,2,0,3,6,5,12,7,15,5,8,4,7
B3GALNT1,102,509,215,576,77,835,23,42,0,99,0,47,49,0,1
GPRIN1,141,33,181,0,104,58,27,91,398,26,126,171,83,53,207
HSPB3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
KCNAB1,11,20,26,36,19,40,21,69,0,44,173,102,88,98,168
MRPL1,726,596,563,394,617,700,1141,1783,2825,1109,1444,1159,1323,812,1310
SHE,0,1,0,0,0,0,0,1,110,0,11,1,0,0,1
NR0B1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PGM2,944,975,663,719,665,649,401,729,384,769,657,1100,434,707,807
STK32A,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0
IL1RAPL1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P2RY12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C22orf15,2,17,0,7,10,0,51,6,838,41,0,10,55,0,57
GUSBP12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OR5AU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1024,0,1,39,58,22,0,38,1,0,35,8,11,7,4,0
